	epi_isl	submitting_lab	originating_lab
1795	EPI346805	National Institute For Medical Research	Institut Pasteur De Madagascar
1796	EPI346803	National Institute For Medical Research	Institut Pasteur De Madagascar
1797	EPI301308	National Institute For Medical Research	Institut Pasteur De Madagascar
1798	EPI352440	National Institute For Medical Research	Crr Virus Influenza Region Sud
1799	EPI753679	Other Database Import	Who Centre For Reference & Research On Influenza
1800	EPI187559	Centers For Disease Control And Prevention	Michigan Department Of Community Health
1801	EPI187561	Centers For Disease Control And Prevention	Michigan Department Of Community Health
1802	EPI305371	National Institute For Medical Research	Institut National D Hygiene, Ministere De La Sante Sante
1803	EPI319333	National Institute For Medical Research	Pasteur Institut Of Côte D'ivoire
1804	EPI902448	Crick Worldwide Influenza Centre	Institut Pasteur
1805	EPI319355	National Institute For Medical Research	University Of Ghana
1806	EPI331094	National Institute For Medical Research	University Of Ghana
1807	EPI902571	Crick Worldwide Influenza Centre	University Of Ghana
1808	EPI163726	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
1809	EPI358191	Centers For Disease Control And Prevention	Laboratorio Nacional De Salud Guatemala
1810	EPI370042	Who Collaborating Centre For Reference And Research On Influenza	Royal Darwin Hospital
1811	EPI352447	National Institute For Medical Research	Pasteur Institut Of Côte D'ivoire
1812	EPI346783	National Institute For Medical Research	Centre Pasteur Du Cameroun
1813	EPI357764	National Institute For Medical Research	Centre Pasteur Du Cameroun
1814	EPI357762	National Institute For Medical Research	Centre Pasteur Du Cameroun
1815	EPI902511	Crick Worldwide Influenza Centre	Centre Pasteur Du Cameroun
1816	EPI904247	Crick Worldwide Influenza Centre	Centre Pasteur Du Cameroun
1817	EPI331635	Who Collaborating Centre For Reference And Research On Influenza	Institute Of Medical And Veterinary Science (imvs)
1818	EPI357588	Who Collaborating Centre For Reference And Research On Influenza	Austin Health
1819	EPI357742	National Institute For Medical Research	Supreme Health Council
1820	EPI305395	National Institute For Medical Research	Government Virus Unit
1821	EPI392604	National Institute For Medical Research	Institut Pasteur De Madagascar
1822	EPI392602	National Institute For Medical Research	Institut Pasteur De Madagascar
1823	EPI417326	Who Collaborating Centre For Reference And Research On Influenza	Auckland Hospital
1824	EPI357594	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
1825	EPI334700	National Institute For Medical Research	Government Virus Unit
1826	EPI334692	National Institute For Medical Research	Government Virus Unit
1827	EPI393572	National Institute For Medical Research	Institut Pasteur De Dakar
1828	EPI346771	National Institute For Medical Research	Landspitali   University Hospital 
1829	EPI330809	Who Chinese National Influenza Center	Who Chinese National Influenza Center
1830	EPI301328	National Institute For Medical Research	Tehran University Of Medical Sciences
1831	EPI330220	Who Chinese National Influenza Center	Who Chinese National Influenza Center
1832	EPI417435	Who Collaborating Centre For Reference And Research On Influenza	Victorian Infectious Diseases Reference Laboratory 
1833	EPI392585	National Institute For Medical Research	Government Virus Unit
1834	EPI565143	Centers For Disease Control And Prevention	Who National Influenza Centre, National Institute Of Medical Research (nimr)
1835	EPI638830	National Institute Of Infectious Diseases (niid)	Center For Disease Control
1836	EPI398082	Centers For Disease Control And Prevention	Utah Department Of Health
1837	EPI406250	National Institute For Medical Research	Instituto Nacional De Enfermedades Infecciosas
1838	EPI408059	National Institute For Medical Research	Health Protection Agency
1839	EPI379356	Who Collaborating Centre For Reference And Research On Influenza	Princess Margaret Hospital For Children
1840	EPI477511	Who Collaborating Centre For Reference And Research On Influenza	Medical Research Institute
1841	EPI491476	Who Collaborating Centre For Reference And Research On Influenza	Austin Health
1842	EPI406282	National Institute For Medical Research	Instituto Nacional De Enfermedades Infecciosas
1843	EPI450380	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
1844	EPI406254	National Institute For Medical Research	Sandringham, National Institute For Communicable D
1845	EPI904257	Crick Worldwide Influenza Centre	Hellenic Pasteur Institute
1846	EPI431352	National Institute For Medical Research	Laboratory Directorate
1847	EPI417333	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
1848	EPI491121	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
1849	EPI636451	Who Collaborating Centre For Reference And Research On Influenza	Institut Pasteur New Caledonia
1850	EPI491124	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
1851	EPI632562	Centers For Disease Control And Prevention	Instituto Adolfo Lutz
1852	EPI694954	Centers For Disease Control And Prevention	National Microbiology Laboratory, Health Canada
1853	EPI784769	Ministry Of Health, Singapore	Ministry Of Health, Singapore
1854	EPI844345	Centers For Disease Control And Prevention	National Public Health Laboratory
1855	EPI492850	Centers For Disease Control And Prevention	Wisconsin State Laboratory Of Hygiene
1856	EPI904425	Crick Worldwide Influenza Centre	Servicio De Microbiología Hospital Virgen De Las Nieves
1857	EPI569140	Centers For Disease Control And Prevention	National Influenza Lab
1858	EPI394437	Who Collaborating Centre For Reference And Research On Influenza	Canterbury Health Services
1859	EPI379944	National Institute For Medical Research	Ministry Of Health Of Ukraine
1860	EPI376429	National Institute For Health And Welfare	National Institute For Health And Welfare
1861	EPI406329	National Institute For Medical Research	Instituto Nacional De Enfermedades Infecciosas
1862	EPI507669	Centers For Disease Control And Prevention	Aichi Prefectural Institute Of Public Health
1863	EPI825539	Centers For Disease Control And Prevention	National Institute Of Hygiene And Epidemiology
1864	EPI561888	Who Collaborating Centre For Reference And Research On Influenza	Queensland Health Scientific Services
1865	EPI704202	Who Collaborating Centre For Reference And Research On Influenza	Royal Darwin Hospital
1866	EPI704133	Who Collaborating Centre For Reference And Research On Influenza	Clinical Virology Unit, Cdim
1867	EPI643020	Centers For Disease Control And Prevention	Who Collaborating Centre For Reference And Research On Influenza
1868	EPI874930	Microbiology Services Colindale, Public Health England	Microbiology Services Colindale, Public Health England
1869	EPI632763	Centers For Disease Control And Prevention	Government Virus Unit
1870	EPI466195	Who Collaborating Centre For Reference And Research On Influenza	Austin Health
1871	EPI352436	National Institute For Medical Research	Norwegian Institute Of Public Health
1872	EPI387455	National Institute For Medical Research	Istituto Superiore Di Sanità
1873	EPI904232	Crick Worldwide Influenza Centre	National Virus Reference Laboratory
1874	EPI417348	Who Collaborating Centre For Reference And Research On Influenza	Institute Pasteur Du Cambodia
1875	EPI406315	National Institute For Medical Research	Who National Influenza Centre
1876	EPI417747	National Institute For Medical Research	Laboratory Directorate
1877	EPI417749	National Institute For Medical Research	Laboratory Directorate
1878	EPI466168	Who Collaborating Centre For Reference And Research On Influenza	Institute Of Environmental Science & Research
1879	EPI392566	National Institute For Medical Research	Crr Virus Influenza Region Sud
1880	EPI431320	National Institute For Medical Research	Institut Pasteur D'algerie
1881	EPI368955	National Institute For Medical Research	Hellenic Pasteur Institute
1882	EPI406291	National Institute For Medical Research	Central Health Laboratory
1883	EPI406297	National Institute For Medical Research	Central Health Laboratory
1884	EPI416470	National Institute For Medical Research	Crr Virus Influenza Region Sud
1885	EPI431338	National Institute For Medical Research	Government Virus Unit
1886	EPI379418	Who Collaborating Centre For Reference And Research On Influenza	Institute Of Medical And Veterinary Science (imvs)
1887	EPI379542	Who Collaborating Centre For Reference And Research On Influenza	Royal Darwin Hospital
1888	EPI394387	Who Collaborating Centre For Reference And Research On Influenza	Institute Of Environmental Science And Research
1889	EPI379930	National Institute For Medical Research	Who National Influenza Centre Russian Federation
1890	EPI431334	National Institute For Medical Research	Government Virus Unit
1891	EPI491353	Who Collaborating Centre For Reference And Research On Influenza	Austin Health
1892	EPI1605916	Centers For Disease Control And Prevention	Centers For Disease Control And Prevention
1893	EPI745298	Centers For Disease Control And Prevention	Central Laboratory Of Public Health
1894	EPI642982	Centers For Disease Control And Prevention	Central Laboratory Of Public Health
1895	EPI439299	Cantacuzino Institute	Cantacuzino Institute
1896	EPI569090	Centers For Disease Control And Prevention	Central Laboratory Of Public Health
1897	EPI568875	Centers For Disease Control And Prevention	Florida Department Of Health Jacksonville
1898	EPI745306	Centers For Disease Control And Prevention	Central Laboratory Of Public Health
1899	EPI642966	Centers For Disease Control And Prevention	Central Laboratory Of Public Health
1900	EPI569032	Centers For Disease Control And Prevention	New Hampshire Public Health Laboratories
1901	EPI568887	Centers For Disease Control And Prevention	Florida Department Of Health Tampa
1902	EPI565094	Centers For Disease Control And Prevention	Florida Department Of Health Jacksonville
1903	EPI565113	Centers For Disease Control And Prevention	Louisiana Department Of Health And Hospitals
1904	EPI581792	National Institute Of Infectious Diseases (niid)	Chiba City Institute Of Health And Environment
1905	EPI629520	Centers For Disease Control And Prevention	Russian Academy Of Medical Sciences
1906	EPI569045	Centers For Disease Control And Prevention	New Mexico Department Of Health
1907	EPI569050	Centers For Disease Control And Prevention	New York State Department Of Health
1908	EPI569153	Centers For Disease Control And Prevention	Texas Department Of State Health Services Laboratory Services
1909	EPI569027	Centers For Disease Control And Prevention	Nebraska Public Health Lab
1910	EPI565248	Centers For Disease Control And Prevention	Texas Department Of State Health Services Laboratory Services
1911	EPI619066	National Institute Of Infectious Diseases (niid)	Sakai City Institute Of Public Health
1912	EPI693110	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
1913	EPI708669	Centers For Disease Control And Prevention	Institute Of Epidemiology Disease Control And Research (iedcr) & Bangladesh National Influenza Centre (nic)
1914	EPI565220	Centers For Disease Control And Prevention	Baylor College Of Medicine
1915	EPI834201	Centers For Disease Control And Prevention	Instituto Adolfo Lutz
1916	EPI840194	National Institute Of Infectious Diseases (niid)	Center For Disease Control
1917	EPI955435	Centers For Disease Control And Prevention	Who Chinese National Influenza Center
1918	EPI592784	Centers For Disease Control And Prevention	Minnesota Department Of Health
1919	EPI714025	Centers For Disease Control And Prevention	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)
1920	EPI826797	Centers For Disease Control And Prevention	Departamento De Laboratorio De Salud Publica
1921	EPI662236	Centers For Disease Control And Prevention	Departamento De Laboratorio De Salud Publica
1922	EPI662229	Centers For Disease Control And Prevention	Departamento De Laboratorio De Salud Publica
1923	EPI1012640	Centers For Disease Control And Prevention	Instituto Oswaldo Cruz Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)
